HR+D1039_1:101,
920.741,200.69
921.172,355.69
921.603,254.69
922.033,200.69
922.464,141.69
922.895,106.69
923.325,89.69
923.756,104.69
924.186,84.69
924.617,89.69
925.047,89.69
925.478,104.69
925.908,72.69
926.338,75.69
926.769,96.69
927.199,81.69
927.629,86.69
928.06,87.69
928.49,75.69
928.92,92.69
929.35,87.69
929.78,85.69
930.21,77.69
930.641,87.69
931.071,80.69
931.501,89.69
931.931,71.69
932.361,96.69
932.791,79.69
933.221,79.69
933.651,95.69
934.08,96.69
934.51,96.69
934.94,103.69
935.37,95.69
935.8,75.69
936.229,76.69
936.659,92.69
937.089,86.69
937.519,92.69
937.948,84.69
938.378,92.69
938.807,91.69
939.237,83.69
939.666,85.69
940.096,100.69
940.525,92.69
940.955,79.69
941.384,93.69
941.814,96.69
942.243,76.69
942.672,80.69
943.102,79.69
943.531,104.69
943.96,80.69
944.39,89.69
944.819,103.69
945.248,68.69
945.677,85.69
946.106,80.69
946.535,91.69
946.964,84.69
947.393,69.69
947.822,68.69
948.251,76.69
948.68,86.69
949.109,68.69
949.538,89.69
949.967,95.69
950.396,90.69
950.825,81.69
951.254,72.69
951.682,90.69
952.111,74.69
952.54,84.69
952.969,73.69
953.397,94.69
953.826,86.69
954.254,73.69
954.683,84.69
955.112,85.69
955.54,93.69
955.969,104.69
956.397,89.69
956.826,92.69
957.254,83.69
957.682,79.69
958.111,90.69
958.539,87.69
958.967,100.69
959.396,88.69
959.824,83.69
960.252,91.69
960.68,89.69
961.109,73.69
961.537,87.69
961.965,93.69
962.393,71.69
962.821,83.69
963.249,87.69
963.677,91.69
964.105,134.69
964.533,329.69
964.961,279.69
965.389,218.69
965.817,153.69
966.245,107.69
966.672,87.69
967.1,74.69
967.528,97.69
967.956,78.69
